folio,genero,rango_edad,alcaldia,turno_simulado,sede_asignada_simulada,discapacidad,lengua_indigena,comunidad_indigena,acceso_internet,tiene_beca,estatus_registro
REG26-025175,Mujer,36-40,TLAHUAC,Matutino,144_SU_TLH - ANA BOLENA,No,No,No,Sí,Sí,Aceptado (pendiente de validación)
REG26-025190,Mujer,51+,GUSTAVO A. MADERO,Matutino,170_NT_GAM - TABLAS DE SAN AGUSTÍN,No,No,No,Sí,Sí,Aceptado (pendiente de validación)
REG26-025196,Mujer,51+,IZTAPALAPA,Matutino,174_IZ_IZP - PARQUE PATOLLI,No,No,No,Sí,Sí,Aceptado
REG26-025223,Mujer,21-25,XOCHIMILCO,Matutino,025_SU_XOC - SAN GREGORIO ATLAPULCO,No,No,No,No,Sí,Aceptado
REG26-025283,Mujer,26-30,LA MAGDALENA CONTRERAS,Matutino,017_SP_MAC - HUAYATLA,No,No,No,Sí,No,Aceptado (pendiente de validación)
REG26-025292,Mujer,21-25,LA MAGDALENA CONTRERAS,Matutino,232_SP_MAC - JUVENTINO ROSAS,No,No,No,Sí,Sí,Aceptado (pendiente de validación)
REG26-025346,Hombre,26-30,AZCAPOTZALCO,Matutino,036_NT_AZC - SAN MIGUEL AMANTLA,No,No,No,Sí,No,Aceptado
REG26-025361,Mujer,46-50,CUAUHTÉMOC,Matutino,132_CO_CUH - MARIANO ABASOLO,No,No,No,Sí,No,Aceptado
REG26-025394,Mujer,31-35,AZCAPOTZALCO,Matutino,192_NT_AZC - RINI TEMPLETON,No,No,No,Sí,No,Aceptado (pendiente de validación)
REG26-025400,Mujer,46-50,IZTAPALAPA,Matutino,215_IZ_IZP - APATLACO,No,No,No,Sí,No,Aceptado (pendiente de validación)
REG26-025427,Mujer,16-20,IZTAPALAPA,Matutino,012_IZ_IZP - GABRIELA MISTRAL,No,Sí,No,Sí,Sí,Aceptado (pendiente de validación)
REG26-025436,Mujer,46-50,VENUSTIANO CARRANZA,Matutino,073_CO_VCA - AVENIDA DEL TALLER,Sí,No,No,Sí,No,Aceptado (pendiente de validación)
REG26-025475,Mujer,21-25,CUAUHTÉMOC,Matutino,131_CO_CUH - BENITO JUÁREZ Y EL LIBERALISMO MEXICANO,No,No,No,Sí,Sí,Aceptado (pendiente de validación)
REG26-025520,Hombre,26-30,IZTAPALAPA,Matutino,100_IZ_IZP - CONSTITUCIÓN DE 1917,No,No,No,Sí,Sí,Aceptado (pendiente de validación)
REG26-025535,Mujer,36-40,CUAJIMALPA DE MORELOS,Matutino,158_PT_CUM - CONTADERO,No,No,No,No,No,Aceptado (pendiente de validación)
REG26-025634,Mujer,36-40,IZTAPALAPA,Matutino,066_IZ_IZP - VILLA CID,No,No,No,Sí,No,Aceptado (pendiente de validación)
REG26-025637,Mujer,26-30,GUSTAVO A. MADERO,Matutino,055_NT_GAM - CENTENARIO,No,No,No,Sí,No,Aceptado (pendiente de validación)
REG26-025643,Hombre,16-20,TLAHUAC,Matutino,110_SU_TLH - TLALTENCO,No,No,No,Sí,Sí,Aceptado
REG26-025682,Mujer,16-20,TLAHUAC,Matutino,237_SU_TLH - SANTA CATARINA YECAHUIZOTL,No,No,No,Sí,Sí,Aceptado
REG26-025691,Hombre,31-35,IZTAPALAPA,Matutino,216_IZ_IZP - SANTA MARÍA AZTAHUACÁN II,No,No,No,Sí,No,Aceptado (pendiente de validación)
REG26-025697,Mujer,21-25,IZTAPALAPA,Matutino,218_IZ_IZP - CALMECAC,No,No,No,Sí,No,Aceptado
REG26-025706,Hombre,31-35,CUAUHTÉMOC,Matutino,056_CO_CUH - GLORIETA DE LOS INSURGENTES,No,No,No,Sí,No,Aceptado (pendiente de validación)
REG26-025724,Mujer,26-30,GUSTAVO A. MADERO,Matutino,296_NT_GAM - SAN FELIPE DE JESÚS II,No,No,No,Sí,No,Aceptado (pendiente de validación)
REG26-025727,Hombre,16-20,IZTACALCO,Matutino,010_CO_IZT - AGRÍCOLA PANTITLÁN,No,No,No,Sí,No,Aceptado
REG26-025754,Mujer,46-50,TLALPAN,Matutino,039_SP_TLP - TIZIMÍN,No,No,No,Sí,No,Aceptado (pendiente de validación)
REG26-025760,Mujer,26-30,TLALPAN,Matutino,184_SP_TLP - SAN MIGUEL,No,No,No,Sí,No,Aceptado (pendiente de validación)
REG26-025772,Mujer,31-35,VENUSTIANO CARRANZA,Matutino,249_CO_VCA - 20 DE NOVIEMBRE,No,No,No,Sí,Sí,Aceptado (pendiente de validación)
REG26-025790,Hombre,31-35,TLAHUAC,Matutino,086_SU_TLH - MURCIÉLAGO,No,No,No,Sí,Sí,Aceptado (pendiente de validación)
REG26-025859,Mujer,31-35,IZTAPALAPA,Matutino,227_IZ_IZP - SAN LORENZO TEZONCO,No,No,No,Sí,No,Aceptado (pendiente de validación)
REG26-025901,Hombre,21-25,TLAHUAC,Matutino,016_SU_TLH - GARCÍA LORCA - ZAPOTITLA,No,No,No,Sí,No,Aceptado (pendiente de validación)
REG26-025922,Mujer,21-25,XOCHIMILCO,Matutino,154_SU_XOC - AHUALAPA,No,No,No,Sí,No,Aceptado
REG26-025952,Mujer,16-20,IZTAPALAPA,Matutino,219_IZ_IZP - ERNESTO CHE GUEVARA,No,No,No,Sí,No,Aceptado (pendiente de validación)
REG26-025964,Mujer,31-35,IZTAPALAPA,Matutino,216_IZ_IZP - SANTA MARÍA AZTAHUACÁN II,No,No,No,No,No,Aceptado (pendiente de validación)
REG26-025976,Mujer,36-40,IZTAPALAPA,Matutino,227_IZ_IZP - SAN LORENZO TEZONCO,No,No,No,Sí,Sí,Aceptado (pendiente de validación)
REG26-025991,Mujer,21-25,LA MAGDALENA CONTRERAS,Matutino,082_SP_MAC - PARCELA,No,No,No,Sí,Sí,Aceptado (pendiente de validación)
REG26-026042,Mujer,36-40,XOCHIMILCO,Matutino,060_SU_XOC - 16 DE SEPTIEMBRE,No,No,No,Sí,No,Aceptado (pendiente de validación)
REG26-026081,Mujer,31-35,TLAHUAC,Matutino,086_SU_TLH - MURCIÉLAGO,No,No,No,Sí,Sí,Aceptado (pendiente de validación)
REG26-026099,Hombre,41-45,GUSTAVO A. MADERO,Matutino,161_NT_GAM - CUCHILLA DEL TESORO,No,No,No,Sí,Sí,Aceptado (pendiente de validación)
REG26-026105,Hombre,31-35,IZTAPALAPA,Matutino,215_IZ_IZP - APATLACO,No,No,No,Sí,No,Aceptado (pendiente de validación)
REG26-026120,Hombre,26-30,TLAHUAC,Matutino,085_SU_TLH - MIGUEL HIDALGO,No,No,No,Sí,Sí,Aceptado
REG26-026135,Mujer,46-50,GUSTAVO A. MADERO,Matutino,113_NT_GAM - LA MUELA,No,No,No,Sí,No,Aceptado (pendiente de validación)
REG26-026147,Hombre,31-35,ÁLVARO OBREGÓN,Matutino,044_PT_AOB - LOMAS DE LA ERA,No,No,No,Sí,No,Aceptado (pendiente de validación)
REG26-026156,Hombre,51+,GUSTAVO A. MADERO,Matutino,162_NT_GAM - ESTRELLA,No,No,No,Sí,No,Aceptado (pendiente de validación)
REG26-026174,Hombre,16-20,TLAHUAC,Matutino,236_SU_TLH - SAN NICOLÁS TETELCO,No,No,No,Sí,No,Aceptado (pendiente de validación)
REG26-026183,Hombre,36-40,IZTAPALAPA,Matutino,064_IZ_IZP - NOGAL,No,No,No,Sí,Sí,Aceptado (pendiente de validación)
REG26-026201,Hombre,31-35,IZTAPALAPA,Matutino,011_IZ_IZP - ACAHUALTEPEC,No,No,No,Sí,Sí,Aceptado (pendiente de validación)
REG26-026207,Hombre,16-20,GUSTAVO A. MADERO,Matutino,169_NT_GAM - ARAGÓN VII,No,No,No,Sí,No,Aceptado
REG26-026213,Hombre,16-20,IZTAPALAPA,Matutino,072_IZ_IZP - PROGRESO SUR,No,No,No,Sí,Sí,Aceptado
REG26-026222,Mujer,46-50,COYOACÁN,Matutino,021_SP_COY - EMILIANO ZAPATA,No,No,No,Sí,No,Aceptado (pendiente de validación)
REG26-026252,Mujer,26-30,COYOACÁN,Matutino,047_SP_COY - JESUS MALDONADO,No,No,No,Sí,No,Aceptado
REG26-026282,Hombre,21-25,AZCAPOTZALCO,Matutino,095_NT_AZC - COLTONGO,No,No,No,No,No,Aceptado (pendiente de validación)
REG26-026345,Hombre,26-30,IZTAPALAPA,Matutino,141_IZ_IZP - TIERRA Y LIBERTAD,No,No,No,Sí,No,Aceptado (pendiente de validación)
REG26-026354,Mujer,31-35,TLAHUAC,Matutino,085_SU_TLH - MIGUEL HIDALGO,No,No,No,Sí,No,Aceptado (pendiente de validación)
REG26-026357,Mujer,31-35,COYOACÁN,Matutino,096_SP_COY - TAXQUEÑA,No,No,No,Sí,No,Aceptado (pendiente de validación)
REG26-026369,Mujer,26-30,IZTAPALAPA,Matutino,268_IZ_IZP - EJÉRCITO CONSTITUCIONALISTA,No,No,No,No,No,Aceptado (pendiente de validación)
REG26-026396,Hombre,36-40,XOCHIMILCO,Matutino,032_SU_XOC - SAN FRANCISCO TLALNEPANTLA,No,No,Sí,Sí,No,Aceptado (pendiente de validación)
REG26-026426,Mujer,21-25,XOCHIMILCO,Matutino,253_SU_XOC - RICARDO FLORES MAGÓN,No,No,No,Sí,No,Aceptado (pendiente de validación)
REG26-026447,Mujer,16-20,IZTAPALAPA,Matutino,176_IZ_IZP - REFORMA POLÍTICA,No,No,No,Sí,No,Aceptado (pendiente de validación)
REG26-026465,Hombre,26-30,IZTAPALAPA,Matutino,269_IZ_IZP - JOSÉ REVUELTAS,No,No,No,Sí,No,Aceptado (pendiente de validación)
REG26-026498,Mujer,46-50,GUSTAVO A. MADERO,Matutino,135_NT_GAM - VASCO DE QUIROGA,No,No,No,Sí,No,Aceptado (pendiente de validación)
REG26-026546,Hombre,16-20,CUAUHTÉMOC,Matutino,087_CO_CUH - BOLEO,No,No,No,Sí,No,Aceptado (pendiente de validación)
REG26-026561,Mujer,21-25,IZTAPALAPA,Matutino,011_IZ_IZP - ACAHUALTEPEC,No,No,No,Sí,No,Aceptado (pendiente de validación)
REG26-026618,Mujer,26-30,MIGUEL HIDALGO,Matutino,143_PT_MIH - TLACOPAN,No,No,No,Sí,No,Aceptado (pendiente de validación)
REG26-026717,Mujer,26-30,AZCAPOTZALCO,Matutino,036_NT_AZC - SAN MIGUEL AMANTLA,Sí,No,No,Sí,No,Aceptado (pendiente de validación)
REG26-026735,Mujer,21-25,LA MAGDALENA CONTRERAS,Matutino,017_SP_MAC - HUAYATLA,No,No,No,Sí,No,Aceptado (pendiente de validación)
REG26-026756,Hombre,21-25,CUAUHTÉMOC,Matutino,013_CO_CUH - FRIDA KAHLO,No,No,No,Sí,No,Aceptado
REG26-026777,Mujer,31-35,GUSTAVO A. MADERO,Matutino,296_NT_GAM - SAN FELIPE DE JESÚS II,No,No,No,Sí,Sí,Aceptado (pendiente de validación)
REG26-026852,Mujer,26-30,TLALPAN,Matutino,150_SP_TLP - TOPILEJO,No,No,No,Sí,No,Aceptado
REG26-026918,Mujer,31-35,IZTAPALAPA,Matutino,114_IZ_IZP - CASA DEL PUEBLO,No,No,No,Sí,Sí,Aceptado (pendiente de validación)
REG26-026948,Hombre,21-25,VENUSTIANO CARRANZA,Matutino,279_CO_VCA - TEPITO MORELOS,No,No,No,Sí,No,Aceptado
REG26-026999,Mujer,21-25,GUSTAVO A. MADERO,Matutino,167_NT_GAM - REVOLUCIÓN,No,No,No,Sí,No,Aceptado (pendiente de validación)
REG26-027017,Hombre,31-35,GUSTAVO A. MADERO,Matutino,209_NT_GAM - SANTA MARÍA TICOMÁN,No,No,No,Sí,No,Aceptado (pendiente de validación)
REG26-027065,Mujer,16-20,IZTAPALAPA,Matutino,176_IZ_IZP - REFORMA POLÍTICA,No,No,No,Sí,No,Aceptado (pendiente de validación)
REG26-027134,Hombre,41-45,AZCAPOTZALCO,Matutino,260_NT_AZC - EL ROSARIO,No,No,No,Sí,No,Aceptado (pendiente de validación)
REG26-027152,Hombre,21-25,MIGUEL HIDALGO,Matutino,177_PT_MIH - CASA AMARILLA,No,No,No,Sí,No,Aceptado (pendiente de validación)
REG26-027155,Mujer,31-35,GUSTAVO A. MADERO,Matutino,205_NT_GAM - MALACATES,No,No,No,Sí,Sí,Aceptado (pendiente de validación)
REG26-027185,Hombre,16-20,VENUSTIANO CARRANZA,Matutino,152_CO_VCA - PELÓN OSUNA,No,No,No,Sí,Sí,Aceptado (pendiente de validación)
REG26-027194,Hombre,26-30,XOCHIMILCO,Matutino,253_SU_XOC - RICARDO FLORES MAGÓN,No,No,No,Sí,No,Aceptado (pendiente de validación)
REG26-027203,Mujer,21-25,IZTAPALAPA,Matutino,012_IZ_IZP - GABRIELA MISTRAL,No,No,No,Sí,No,Aceptado
REG26-027266,Mujer,31-35,GUSTAVO A. MADERO,Matutino,136_NT_GAM - SAN FELIPE DE JESÚS,No,No,No,Sí,No,Aceptado (pendiente de validación)
REG26-027284,Mujer,16-20,ÁLVARO OBREGÓN,Matutino,258_PT_AOB - PILOTO,No,No,No,Sí,No,Aceptado (pendiente de validación)
REG26-027299,Mujer,46-50,IZTAPALAPA,Matutino,012_IZ_IZP - GABRIELA MISTRAL,No,No,No,Sí,No,Aceptado (pendiente de validación)
REG26-027302,Mujer,31-35,TLALPAN,Matutino,098_SP_TLP - LA JOYA,No,No,No,Sí,No,Aceptado (pendiente de validación)
REG26-027329,Mujer,31-35,MIGUEL HIDALGO,Matutino,177_PT_MIH - CASA AMARILLA,No,No,No,Sí,Sí,Aceptado (pendiente de validación)
REG26-027353,Hombre,51+,COYOACÁN,Matutino,261_SP_COY - CARMEN SERDÁN,Sí,No,No,Sí,Sí,Aceptado (pendiente de validación)
REG26-027371,Mujer,16-20,XOCHIMILCO,Matutino,253_SU_XOC - RICARDO FLORES MAGÓN,No,No,No,Sí,No,Aceptado (pendiente de validación)
REG26-027374,Mujer,36-40,IZTAPALAPA,Matutino,053_IZ_IZP - RENOVACIÓN,No,No,No,Sí,Sí,Aceptado (pendiente de validación)
REG26-027380,Mujer,26-30,ÁLVARO OBREGÓN,Matutino,105_PT_AOB - OLIVAR DEL CONDE,No,No,No,Sí,Sí,Aceptado (pendiente de validación)
REG26-027383,Hombre,21-25,IZTAPALAPA,Matutino,224_IZ_IZP - LOMAS DE LA ESTANCIA,No,No,No,Sí,No,Aceptado (pendiente de validación)
REG26-027389,Mujer,21-25,TLALPAN,Matutino,098_SP_TLP - LA JOYA,No,No,Sí,Sí,No,Aceptado (pendiente de validación)
REG26-027392,Mujer,26-30,XOCHIMILCO,Matutino,033_SU_XOC - SANTIAGO TULYEHUALCO,No,No,No,Sí,Sí,Aceptado (pendiente de validación)
REG26-027395,Mujer,21-25,GUSTAVO A. MADERO,Matutino,209_NT_GAM - SANTA MARÍA TICOMÁN,No,No,No,Sí,No,Aceptado (pendiente de validación)
REG26-027398,Mujer,36-40,TLALPAN,Matutino,241_SP_TLP - AMPARO OCHOA,No,No,No,No,Sí,Aceptado (pendiente de validación)
REG26-027404,Mujer,26-30,VENUSTIANO CARRANZA,Matutino,249_CO_VCA - 20 DE NOVIEMBRE,No,No,No,No,Sí,Aceptado (pendiente de validación)
REG26-027407,Mujer,51+,GUSTAVO A. MADERO,Matutino,136_NT_GAM - SAN FELIPE DE JESÚS,No,No,No,No,Sí,Aceptado (pendiente de validación)
REG26-027425,Hombre,51+,IZTAPALAPA,Matutino,076_IZ_IZP - PURÍSIMA,No,No,No,Sí,Sí,Aceptado
REG26-027434,Mujer,21-25,XOCHIMILCO,Matutino,251_SU_XOC - MUYUGUARDA,No,No,No,Sí,No,Aceptado
REG26-027443,Hombre,51+,IZTAPALAPA,Matutino,138_IZ_IZP - EL MOLINO TEZONCO,No,No,No,Sí,Sí,Aceptado (pendiente de validación)
REG26-027449,Mujer,26-30,TLALPAN,Matutino,246_SP_TLP - TEPEXIMILPA,No,No,No,Sí,Sí,Aceptado (pendiente de validación)
REG26-027479,Hombre,31-35,COYOACÁN,Matutino,079_SP_COY - SANTA ANA,No,No,No,Sí,Sí,Aceptado (pendiente de validación)
REG26-027482,Mujer,46-50,ÁLVARO OBREGÓN,Matutino,105_PT_AOB - OLIVAR DEL CONDE,No,No,No,Sí,No,Aceptado (pendiente de validación)
REG26-027488,Hombre,21-25,IZTAPALAPA,Matutino,218_IZ_IZP - CALMECAC,No,No,No,Sí,Sí,Aceptado (pendiente de validación)
REG26-027494,Mujer,26-30,IZTAPALAPA,Matutino,012_IZ_IZP - GABRIELA MISTRAL,No,No,No,Sí,Sí,Aceptado (pendiente de validación)
REG26-027497,Mujer,31-35,GUSTAVO A. MADERO,Matutino,169_NT_GAM - ARAGÓN VII,No,No,No,Sí,Sí,Aceptado (pendiente de validación)
REG26-027500,Mujer,26-30,GUSTAVO A. MADERO,Matutino,205_NT_GAM - MALACATES,No,No,No,No,Sí,Aceptado (pendiente de validación)
REG26-027503,Hombre,21-25,VENUSTIANO CARRANZA,Matutino,089_CO_VCA - FRAY SERVANDO,No,No,No,Sí,Sí,Aceptado
REG26-027506,Mujer,31-35,TLALPAN,Matutino,246_SP_TLP - TEPEXIMILPA,No,No,No,Sí,No,Aceptado (pendiente de validación)
REG26-027536,Hombre,16-20,TLAHUAC,Matutino,300_SU_TLH - JAIME TORRES BODET,No,No,No,Sí,No,Aceptado (pendiente de validación)
REG26-027551,Mujer,31-35,TLAHUAC,Matutino,126_SU_TLH - SAN JUAN IXTAYOPAN,No,No,No,Sí,Sí,Aceptado (pendiente de validación)
REG26-027557,Hombre,26-30,CUAUHTÉMOC,Matutino,131_CO_CUH - BENITO JUÁREZ Y EL LIBERALISMO MEXICANO,No,No,Sí,Sí,Sí,Aceptado
REG26-027560,Mujer,26-30,GUSTAVO A. MADERO,Matutino,201_NT_GAM - CASTILLO CHICO,No,No,No,Sí,No,Aceptado (pendiente de validación)
REG26-027569,Hombre,41-45,XOCHIMILCO,Matutino,253_SU_XOC - RICARDO FLORES MAGÓN,No,No,No,Sí,No,Aceptado (pendiente de validación)
REG26-027590,Mujer,16-20,TLAHUAC,Matutino,146_SU_TLH - NOPALERA,No,No,No,Sí,Sí,Aceptado
REG26-027617,Hombre,26-30,TLALPAN,Matutino,246_SP_TLP - TEPEXIMILPA,No,No,No,Sí,Sí,Aceptado (pendiente de validación)
REG26-027629,Hombre,16-20,MILPA ALTA,Matutino,181_SU_MIA - SAN JUAN TEPENAHUAC,No,No,No,No,Sí,Aceptado (pendiente de validación)
REG26-027638,Mujer,36-40,CUAUHTÉMOC,Matutino,056_CO_CUH - GLORIETA DE LOS INSURGENTES,No,No,No,Sí,Sí,Aceptado
REG26-027647,Hombre,21-25,LA MAGDALENA CONTRERAS,Matutino,231_SP_MAC - LA HIGUERA,No,No,No,Sí,Sí,Aceptado
REG26-027680,Mujer,21-25,GUSTAVO A. MADERO,Matutino,136_NT_GAM - SAN FELIPE DE JESÚS,No,No,No,Sí,No,Aceptado (pendiente de validación)
REG26-027695,Mujer,16-20,IZTAPALAPA,Matutino,142_IZ_IZP - VALLE DE LUCES,No,No,No,Sí,No,Aceptado (pendiente de validación)
REG26-027698,Mujer,16-20,IZTAPALAPA,Matutino,142_IZ_IZP - VALLE DE LUCES,No,No,No,Sí,Sí,Aceptado (pendiente de validación)
REG26-027701,Hombre,26-30,VENUSTIANO CARRANZA,Matutino,152_CO_VCA - PELÓN OSUNA,No,No,No,Sí,No,Aceptado (pendiente de validación)
REG26-027704,Mujer,21-25,TLALPAN,Matutino,150_SP_TLP - TOPILEJO,No,No,No,Sí,No,Aceptado
REG26-027707,Hombre,31-35,VENUSTIANO CARRANZA,Matutino,279_CO_VCA - TEPITO MORELOS,No,No,No,Sí,No,Aceptado (pendiente de validación)
REG26-027713,Mujer,26-30,ÁLVARO OBREGÓN,Matutino,044_PT_AOB - LOMAS DE LA ERA,No,No,No,Sí,No,Aceptado (pendiente de validación)
REG26-027716,Hombre,41-45,GUSTAVO A. MADERO,Matutino,171_NT_GAM - TOKIO,No,No,No,Sí,Sí,Aceptado (pendiente de validación)
REG26-027728,Mujer,21-25,IZTAPALAPA,Matutino,142_IZ_IZP - VALLE DE LUCES,No,No,No,Sí,No,Aceptado
REG26-027743,Mujer,16-20,IZTAPALAPA,Matutino,142_IZ_IZP - VALLE DE LUCES,No,No,No,Sí,Sí,Aceptado (pendiente de validación)
REG26-027746,Mujer,31-35,XOCHIMILCO,Matutino,033_SU_XOC - SANTIAGO TULYEHUALCO,No,No,No,Sí,No,Aceptado (pendiente de validación)
REG26-027752,Mujer,26-30,MIGUEL HIDALGO,Matutino,177_PT_MIH - CASA AMARILLA,No,No,No,Sí,Sí,Aceptado (pendiente de validación)
REG26-027764,Hombre,46-50,GUSTAVO A. MADERO,Matutino,199_NT_GAM - BOSQUE DE ARAGÓN,No,No,No,Sí,No,Aceptado (pendiente de validación)
REG26-027776,Mujer,21-25,IZTAPALAPA,Matutino,142_IZ_IZP - VALLE DE LUCES,No,No,No,No,No,Aceptado (pendiente de validación)
REG26-027788,Hombre,26-30,VENUSTIANO CARRANZA,Matutino,250_CO_VCA - COPIL,No,No,No,Sí,Sí,Aceptado (pendiente de validación)
REG26-027791,Mujer,26-30,AZCAPOTZALCO,Matutino,194_NT_AZC - TEPANTONGO,No,No,No,Sí,No,Aceptado (pendiente de validación)
REG26-027800,Mujer,21-25,IZTAPALAPA,Matutino,088_IZ_IZP - EMILIO ROSAS,No,No,No,Sí,Sí,Aceptado
REG26-027809,Mujer,31-35,XOCHIMILCO,Matutino,253_SU_XOC - RICARDO FLORES MAGÓN,No,No,No,Sí,Sí,Aceptado (pendiente de validación)
REG26-027821,Mujer,21-25,IZTAPALAPA,Matutino,053_IZ_IZP - RENOVACIÓN,No,No,No,Sí,No,Aceptado (pendiente de validación)
REG26-027824,Mujer,36-40,MIGUEL HIDALGO,Matutino,289_PT_MIH - TACUBAYA- NAHUI OLLIN,No,No,No,Sí,Sí,Aceptado (pendiente de validación)
REG26-027839,Mujer,31-35,COYOACÁN,Único,022_SP_COY - JOSE DE MOLINA,No,No,Sí,Sí,No,Aceptado (pendiente de validación)
REG26-027845,Mujer,36-40,VENUSTIANO CARRANZA,Matutino,089_CO_VCA - FRAY SERVANDO,No,No,No,Sí,Sí,Aceptado
REG26-027857,Hombre,31-35,CUAUHTÉMOC,Matutino,093_CO_CUH - CHABACANO,No,No,No,Sí,No,Aceptado (pendiente de validación)
REG26-027863,Mujer,26-30,VENUSTIANO CARRANZA,Matutino,249_CO_VCA - 20 DE NOVIEMBRE,No,No,No,Sí,No,Aceptado (pendiente de validación)
REG26-027872,Mujer,31-35,VENUSTIANO CARRANZA,Matutino,248_CO_VCA - FELIPE ÁNGELES,No,No,No,Sí,Sí,Aceptado (pendiente de validación)
REG26-027896,Mujer,51+,IZTAPALAPA,Matutino,222_IZ_IZP - GUELATAO,No,No,No,Sí,Sí,Aceptado
REG26-027920,Mujer,31-35,TLAHUAC,Matutino,086_SU_TLH - MURCIÉLAGO,No,No,No,No,Sí,Aceptado (pendiente de validación)
REG26-027935,Mujer,21-25,TLAHUAC,Matutino,235_SU_TLH - QUETZALCÓATL,No,No,No,Sí,No,Aceptado
REG26-027941,Mujer,31-35,IZTACALCO,Matutino,010_CO_IZT - AGRÍCOLA PANTITLÁN,No,No,No,Sí,Sí,Aceptado (pendiente de validación)
REG26-027965,Mujer,21-25,AZCAPOTZALCO,Matutino,036_NT_AZC - SAN MIGUEL AMANTLA,No,No,No,Sí,No,Aceptado
REG26-027977,Hombre,16-20,XOCHIMILCO,Matutino,033_SU_XOC - SANTIAGO TULYEHUALCO,No,No,No,Sí,Sí,Aceptado
REG26-027980,Hombre,31-35,ÁLVARO OBREGÓN,Matutino,042_PT_AOB - ISIDRO FABELA,No,No,No,Sí,No,Aceptado (pendiente de validación)
REG26-028022,Mujer,51+,GUSTAVO A. MADERO,Matutino,169_NT_GAM - ARAGÓN VII,No,No,No,Sí,Sí,Aceptado
REG26-028031,Mujer,21-25,MIGUEL HIDALGO,Matutino,177_PT_MIH - CASA AMARILLA,No,No,No,Sí,Sí,Aceptado (pendiente de validación)
REG26-028037,Mujer,41-45,IZTAPALAPA,Matutino,269_IZ_IZP - JOSÉ REVUELTAS,No,No,No,Sí,Sí,Aceptado (pendiente de validación)
REG26-028040,Mujer,26-30,IZTAPALAPA,Matutino,077_IZ_IZP - CERRO AZUL,No,No,No,Sí,No,Aceptado (pendiente de validación)
REG26-028043,Mujer,31-35,ÁLVARO OBREGÓN,Matutino,005_PT_AOB - JALALPA TEPITO,No,No,No,No,Sí,Aceptado (pendiente de validación)
REG26-028061,Mujer,36-40,COYOACÁN,Matutino,101_SP_COY - LA ESCUELITA,No,No,No,Sí,Sí,Aceptado (pendiente de validación)
REG26-028073,Mujer,21-25,TLAHUAC,Matutino,045_SU_TLH - PAULO FREIRÉ,No,No,No,Sí,No,Aceptado (pendiente de validación)
REG26-028082,Mujer,21-25,IZTAPALAPA,Matutino,053_IZ_IZP - RENOVACIÓN,No,No,No,Sí,No,Aceptado (pendiente de validación)
REG26-028103,Mujer,21-25,MILPA ALTA,Matutino,049_SU_MIA - XALTIPAC,No,No,No,Sí,Sí,Aceptado (pendiente de validación)
REG26-028109,Hombre,26-30,COYOACÁN,Matutino,096_SP_COY - TAXQUEÑA,No,No,No,No,Sí,Aceptado (pendiente de validación)
REG26-028142,Mujer,26-30,TLAHUAC,Matutino,145_SU_TLH - COCODRILO,No,No,No,Sí,No,Aceptado (pendiente de validación)
REG26-028157,Hombre,41-45,TLALPAN,Matutino,150_SP_TLP - TOPILEJO,No,No,No,Sí,No,Aceptado (pendiente de validación)
REG26-028160,Mujer,16-20,VENUSTIANO CARRANZA,Matutino,250_CO_VCA - COPIL,No,No,No,Sí,No,Aceptado (pendiente de validación)
REG26-028169,Mujer,46-50,XOCHIMILCO,Matutino,253_SU_XOC - RICARDO FLORES MAGÓN,No,No,No,Sí,Sí,Aceptado (pendiente de validación)
REG26-028172,Mujer,51+,LA MAGDALENA CONTRERAS,Matutino,232_SP_MAC - JUVENTINO ROSAS,No,No,No,Sí,Sí,Aceptado (pendiente de validación)
REG26-028202,Mujer,41-45,ÁLVARO OBREGÓN,Matutino,005_PT_AOB - JALALPA TEPITO,No,No,No,Sí,Sí,Aceptado (pendiente de validación)
REG26-028208,Mujer,51+,VENUSTIANO CARRANZA,Matutino,152_CO_VCA - PELÓN OSUNA,No,No,No,Sí,No,Aceptado (pendiente de validación)
REG26-028223,Hombre,21-25,IZTAPALAPA,Matutino,100_IZ_IZP - CONSTITUCIÓN DE 1917,No,No,No,Sí,Sí,Aceptado
REG26-028235,Hombre,26-30,GUSTAVO A. MADERO,Matutino,092_NT_GAM - EJIDOS SAN JUAN DE ARAGÓN,No,No,No,Sí,Sí,Aceptado (pendiente de validación)
REG26-028241,Mujer,41-45,IZTAPALAPA,Matutino,124_IZ_IZP - CARLOTA BOTEY,No,No,No,Sí,No,Aceptado (pendiente de validación)
REG26-028244,Mujer,46-50,TLAHUAC,Matutino,086_SU_TLH - MURCIÉLAGO,No,No,No,Sí,Sí,Aceptado (pendiente de validación)
REG26-028247,Mujer,31-35,IZTAPALAPA,Matutino,142_IZ_IZP - VALLE DE LUCES,No,Sí,No,Sí,Sí,Aceptado (pendiente de validación)
REG26-028253,Mujer,26-30,IZTAPALAPA,Matutino,269_IZ_IZP - JOSÉ REVUELTAS,No,No,No,Sí,Sí,Aceptado (pendiente de validación)
REG26-028271,Mujer,41-45,ÁLVARO OBREGÓN,Matutino,105_PT_AOB - OLIVAR DEL CONDE,No,No,No,No,Sí,Aceptado (pendiente de validación)
REG26-028292,Mujer,26-30,ÁLVARO OBREGÓN,Matutino,044_PT_AOB - LOMAS DE LA ERA,No,No,No,Sí,Sí,Aceptado (pendiente de validación)
